tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100008579	0	live	EGR1	EGR-1, zenk	early growth response 1	early growth response protein 1|zinc finger protein ZENK|zinc-finger transcriptional protein		13	NC_044225.2	18019113	18022061	plus	2		
59729	Taeniopygia guttata	751769	0	live	FOXP2		forkhead box P2	forkhead box protein P2|transcription factor FoxP2		1A	NC_044212.2	25078988	25476926	minus	19		
59729	Taeniopygia guttata	751774	0	live	AR		androgen receptor	androgen receptor|androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)		4A	NC_044216.2	6008454	6040918	minus	8		
59729	Taeniopygia guttata	751777	0	live	CYP19A1	CYPXIX, P-450AROM	cytochrome P450, family 19, subfamily A, polypeptide 1	aromatase|cytochrome P-450AROM|cytochrome P450 19A1|estrogen synthase|estrogen synthetase		10	NC_044222.2	8978886	9000929	minus	11		
59729	Taeniopygia guttata	100232255	0	live	MATR3		matrin 3	matrin-3		13	NC_044225.2	1367030	1393267	plus	16		
59729	Taeniopygia guttata	100230379	0	live	RCC1		regulator of chromosome condensation 1	regulator of chromosome condensation		23	NC_044235.2	4026767	4035798	plus	16		
59729	Taeniopygia guttata	100219907	0	live	OPRD1		opioid receptor delta 1	delta-type opioid receptor		23	NC_044235.2	4039233	4048841	minus	3		
59729	Taeniopygia guttata	100229034	0	live	DRD1		dopamine receptor D1	D(1A) dopamine receptor		13	NC_044225.2	14909923	14913979	plus	3		
59729	Taeniopygia guttata	100229332	0	live	CARTPT		CART prepropeptide	cocaine- and amphetamine-regulated transcript protein		Z	NC_044241.2	34889230	34891051	minus	3		
59729	Taeniopygia guttata	101233729	0	live	LEP		leptin	leptin		1A	NC_044212.2	279882	282556	minus	4		
59729	Taeniopygia guttata	752001	0	live	ARC		activity regulated cytoskeleton associated protein	activity-regulated cytoskeleton-associated protein		2	NC_044213.2	148914007	148920229	minus	3		
59729	Taeniopygia guttata	751584	0	live	BDNF		brain derived neurotrophic factor	brain-derived neurotrophic factor		5	NC_044217.2	1345878	1386307	minus	5		
59729	Taeniopygia guttata	100038821	0	live	NPVF	gnih	neuropeptide VF precursor	pro-FMRFamide-related neuropeptide VF|gonadotropin-inhibitory hormone		2	NC_044213.2	32702272	32705972	minus	3		
59729	Taeniopygia guttata	751771	0	live	ALDH1A2	RALDH 2, RALDH(II), RalDH2, zRalDH	aldehyde dehydrogenase 1 family member A2	retinal dehydrogenase 2|aldehyde dehydrogenase family 1 member A2|class I aldehyde dehydrogenase|retinaldehyde-specific dehydrogenase type 2		10	NC_044222.2	6805805	6861648	plus	14		
59729	Taeniopygia guttata	100223892	0	live	CNTNAP2		contactin associated protein 2	contactin-associated protein-like 2|contactin associated protein like 2		2	NC_044213.2	49567508	50587804	minus	24		
59729	Taeniopygia guttata	100886702	0	live	MIR9-1	tgu-mir-9-1	microRNA mir-9-1	microRNA 9-1		10	NC_044222.2	12776208	12776280	minus	1		
59729	Taeniopygia guttata	751984	0	live	FOXP1		forkhead box P1	forkhead box protein P1|transcription factor FoxP1		12	NC_044224.2	3643665	4066053	plus	30		
59729	Taeniopygia guttata	752002	0	live	DCX		doublecortin	neuronal migration protein doublecortin|doublecortex; lissencephaly, X-linked (doublecortin)		4A	NC_044216.2	17399615	17467024	plus	7		
59729	Taeniopygia guttata	751985	0	live	NTRK2		neurotrophic receptor tyrosine kinase 2	BDNF/NT-3 growth factors receptor|tyrosine kinase receptor		Z	NC_044241.2	55072224	55265363	minus	22		
59729	Taeniopygia guttata	100008580	0	live	FNDC9	FNTM2	fibronectin type III domain containing 9	fibronectin type III domain-containing protein 9|fibronectin type III and transmembrane containing protein 2		13	NC_044225.2	13477536	13480143	minus	2		
59729	Taeniopygia guttata	751607	0	live	CNR1	CB-R, CB1	cannabinoid receptor 1	cannabinoid receptor 1|CB1 cannabinoid receptor|cannabinoid receptor 1 (brain)		3	NC_044214.2	35481208	35483207	minus	1		
59729	Taeniopygia guttata	751975	0	live	ATP5F1A	ATP5A1	ATP synthase F1 subunit alpha	ATP synthase subunit alpha, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle		Z	NC_044241.2	35469763	35477358	plus	12		
59729	Taeniopygia guttata	101233123	0	live	QRFP	26RFa	pyroglutamylated RFamide peptide	orexigenic neuropeptide QRFP|26RFa precursor protein		17	NC_044229.2	6630576	6633842	minus	2		
59729	Taeniopygia guttata	752013	0	live	OPN1SW	SWS1	opsin 1, short wave sensitive	ultraviolet-sensitive opsin|SWS1 cone opsin|SWS1 opsin|opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)|short wavelength sensitive type 1 opsin		1A	NC_044212.2	173851	177337	plus	5		
59729	Taeniopygia guttata	751780	0	live	SCAMP1		secretory carrier membrane protein 1	secretory carrier-associated membrane protein 1		Z	NC_044241.2	58967170	59005943	minus	9		
59729	Taeniopygia guttata	100224454	0	live	NEU2		neuraminidase 2	sialidase-2|sialidase NEU2		9	NC_044221.2	6498411	6534498	plus	6		
59729	Taeniopygia guttata	100221133	0	live	RPL7		ribosomal protein L7	large ribosomal subunit protein uL30		2	NC_044213.2	119331241	119338717	minus	7		
59729	Taeniopygia guttata	100220481	0	live	NEU3		neuraminidase 3	sialidase-3|sialidase NEU3		1	NC_044211.2	19150657	19154073	plus	6		
59729	Taeniopygia guttata	100216318	0	live	GNRH1		gonadotropin releasing hormone 1	progonadoliberin-1		22	NC_044234.2	2573122	2576612	minus	4		
59729	Taeniopygia guttata	100190334	0	live	TBCA		tubulin folding cofactor A	tubulin-specific chaperone A|putative tubulin-specific chaperone A|tubulin-specific chaperone A-like		Z	NC_044241.2	59357573	59384614	plus	4		
59729	Taeniopygia guttata	100232276	0	live	FOXP4		forkhead box P4	forkhead box protein P4|transcription factor FoxP4		26	NC_044238.2	2218690	2276997	plus	17		
59729	Taeniopygia guttata	101234064	0	live	STX1B		syntaxin 1B	syntaxin-1B		16	NC_044228.2	119234	141460	minus	13		
59729	Taeniopygia guttata	101233392	0	live	SLC17A6	VGLUT2	solute carrier family 17 member 6	vesicular glutamate transporter 2|solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6		5	NC_044217.2	319101	345916	minus	12		
59729	Taeniopygia guttata	100232668	0	live	CALB1		calbindin 1	calbindin		2	NC_044213.2	125868882	125885473	minus	11		
59729	Taeniopygia guttata	100228929	0	live	PRL		prolactin	prolactin		2	NC_044213.2	69970860	69975406	minus	4		
59729	Taeniopygia guttata	100227653	0	live	D1DR		dopamine receptor 1d	D(1)-like dopamine receptor		6	NC_044218.2	19491372	19496106	minus	1		
59729	Taeniopygia guttata	100220944	0	live	NR4A2		nuclear receptor subfamily 4 group A member 2	nuclear receptor subfamily 4 group A member 2		7	NC_044219.2	37279479	37285646	minus	8		
59729	Taeniopygia guttata	100219119	0	live	TH		tyrosine hydroxylase	tyrosine 3-monooxygenase		5	NC_044217.2	15173314	15196047	plus	13		
59729	Taeniopygia guttata	100216357	0	live	TLR4		toll like receptor 4	toll-like receptor 4		17	NC_044229.2	3949394	3954838	plus	3		
59729	Taeniopygia guttata	100190794	0	live	DRD3	D3R	dopamine receptor D3	D(3) dopamine receptor|dopamine receptor 3		1	NC_044211.2	21088406	21102615	minus	8		
59729	Taeniopygia guttata	751981	0	live	NEFM		neurofilament medium chain	neurofilament medium polypeptide|NF-M|neurofilament, medium polypeptide		22	NC_044234.2	2447010	2452116	plus	3		
59729	Taeniopygia guttata	751778	0	live	NR5A1		nuclear receptor subfamily 5 group A member 1	steroidogenic factor 1		17	NC_044229.2	10269061	10289219	minus	7		
59729	Taeniopygia guttata	751585	0	live	CREB1		cAMP responsive element binding protein 1	cyclic AMP-responsive element-binding protein 1		7	NC_044219.2	20515909	20555329	plus	8		
59729	Taeniopygia guttata	751583	0	live	NCALD		neurocalcin delta	neurocalcin-delta|neurocalcin-delta pseudogene		2	NC_044213.2	130507596	130565644	minus	4		
59729	Taeniopygia guttata	100221836	0	live	AVPR1A		arginine vasopressin receptor 1A	vasopressin V1a receptor		1A	NC_044212.2	32061277	32067562	minus	2		
59729	Taeniopygia guttata	752011	0	live	OXTR	MTR, VT3	oxytocin receptor	oxytocin receptor|mesotocin receptor|vasotocin receptor 3		12	NC_044224.2	600236	604328	plus	2		
59729	Taeniopygia guttata	101233082	0	live	GPER1	GPER, GPR30	G protein-coupled estrogen receptor 1	G-protein coupled estrogen receptor 1		14	NC_044226.2	2884843	2890270	plus	3		
